ID,Type,SKU,Name,Published,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Manage stock?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: product_group,Meta: color_name,Meta: color_hex,Meta: complete_the_look,Meta: maincat,Meta: subcat
,variation,GL13V1PNKXL,,1,,,,,,,1,2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-pink,,,,,,,pa_size,XL,,,,,,,,
,variation,GL13V1PNK2XL,,1,,,,,,,1,2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-pink,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-string-bodysuit-white,Organic Bamboo Women's String Bodysuit,1,,"<span>A second skin feel bodysuit that can be worn alone or as a base layer. It provides the most flattering base, with the most comfortable and softest touch to skin feel. This everyday body is a perfect base piece that can be paired with anything, elevating your look while being ultra-comfortable.</span><br><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul>",,,taxable,,1,11,,0,,1,,,,,,,139,219,"Bodysuits,Underwear,The Outlet","outlet, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_1e019a5a-3478-49e8-99d4-50840daf0c41.jpg?v=1743658805,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_fc337a8d-e8e3-46cc-81ad-bec23e1b5ed7.jpg?v=1743658805,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_9bb43ff6-f3de-4ac5-965f-16232bcda13f.jpg?v=1743658805,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FS_1759a0d4-5362-4ca5-b9c4-c4affba2ec22.jpg?v=1743658805",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-string-bodysuit,White Cloud,#EDEDE6,,bodysuits,
,variation,GL13V1WHTS,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-white,,,,,,,pa_size,S,,,,,,,,
,variation,GL13V1WHTM,,1,,,,,,,1,1,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-white,,,,,,,pa_size,M,,,,,,,,
,variation,GL13V1WHTL,,1,,,,,,,1,6,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-white,,,,,,,pa_size,L,,,,,,,,
,variation,GL13V1WHTXL,,1,,,,,,,1,2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-white,,,,,,,pa_size,XL,,,,,,,,
,variation,GL13V1WHT2XL,,1,,,,,,,1,2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-white,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-string-bodysuit-black,Organic Bamboo Women's String Bodysuit,1,,"<span>A second skin feel bodysuit that can be worn alone or as a base layer. It provides the most flattering base, with the most comfortable and softest touch to skin feel. This everyday body is a perfect base piece that can be paired with anything, elevating your look while being ultra-comfortable.</span><br><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul>",,,taxable,,1,26,,0,,1,,,,,,,139,219,"Bodysuits,Underwear,Gabi Stockler,Alizey,The Outlet","outlet, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_c8c9d7b0-2c54-423a-a99a-a6968b58e465.jpg?v=1743658803,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_5c73b170-0ade-4223-b1f0-92d0922630f3.jpg?v=1743658803,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_1f92511f-3b7c-4e70-abbc-4b0813f219a0.jpg?v=1743658803,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FS_e3118258-24e6-4026-b9b8-781b1cd104af.jpg?v=1743658804",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-string-bodysuit,Jet Black,#383E4E,,bodysuits,
,variation,GL13V1BLKS,,1,,,,,,,1,1,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-black,,,,,,,pa_size,S,,,,,,,,
,variation,GL13V1BLKM,,1,,,,,,,1,7,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-black,,,,,,,pa_size,M,,,,,,,,
,variation,GL13V1BLKL,,1,,,,,,,1,6,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-black,,,,,,,pa_size,L,,,,,,,,
,variation,GL13V1BLKXL,,1,,,,,,,1,8,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-black,,,,,,,pa_size,XL,,,,,,,,
,variation,GL13V1BLK2XL,,1,,,,,,,1,4,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-black,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-short-sleeve-crewneck-bodysuit-taupe,Organic Bamboo Women's Short Sleeve Crewneck Bodysuit,1,,"<p><span>Made from the softest organic eco-friendly bamboo, this short Sleeve Bodysuit is an essential in any women's wardrobe! The buttery-soft fabric and the supportive stretch molds onto your body making it an everyday essential for you.</span><br></p><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul>",,,taxable,,1,13,,0,,1,,,,,,,139,219,"Bodysuits,Underwear",women-bodysuits,,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_12a53115-9fa5-4221-aa24-e8b4752acee3.jpg?v=1743658801,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_fc97ff1e-929f-44ce-967c-85355c16839e.jpg?v=1743658802,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/LF_54e745bb-9b38-432c-8c77-395f1741608b.jpg?v=1743658802,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/LB_fc34d823-9dbb-4286-8db3-ca6835db960d.jpg?v=1743658802",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-short-sleeve-crewneck-bodysuit,Natural Taupe,#AF9483,,bodysuits,
,variation,GL12V1TAUPS,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-taupe,,,,,,,pa_size,S,,,,,,,,
,variation,GL12V1TAUPM,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-taupe,,,,,,,pa_size,M,,,,,,,,
,variation,GL12V1TAUPL,,1,,,,,,,1,4,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-taupe,,,,,,,pa_size,L,,,,,,,,
,variation,GL12V1TAUPXL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-taupe,,,,,,,pa_size,XL,,,,,,,,
,variation,GL12V1TAUP2XL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-taupe,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-short-sleeve-crewneck-bodysuit-pink,Organic Bamboo Women's Short Sleeve Crewneck Bodysuit,1,,"<p><span>Made from the softest organic eco-friendly bamboo, this short Sleeve Bodysuit is an essential in any women's wardrobe! The buttery-soft fabric and the supportive stretch molds onto your body making it an everyday essential for you.</span><br></p><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul><br>",,,taxable,,1,19,,0,,1,,,,,,,139,219,"Bodysuits,Underwear,The Outlet","outlet, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_e2512ab8-e8c0-4797-8a15-2ac13f83b9b7.jpg?v=1743658800,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_a71d557d-3725-4ea2-8166-1f59049a35b0.jpg?v=1743658800,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FS_382957e4-1718-4c8b-b30b-37477a215e70.jpg?v=1743658800,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_ec27bb71-6897-4c56-9296-704f0bd71a6a.jpg?v=1743658800",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-short-sleeve-crewneck-bodysuit,Pastel Pink,#F7C8C2,,bodysuits,
,variation,GL12V1PNKS,,1,,,,,,,1,2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-pink,,,,,,,pa_size,S,,,,,,,,
,variation,GL12V1PNKM,,1,,,,,,,1,5,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-pink,,,,,,,pa_size,M,,,,,,,,
,variation,GL12V1PNKL,,1,,,,,,,1,6,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-pink,,,,,,,pa_size,L,,,,,,,,
,variation,GL12V1PNKXL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-pink,,,,,,,pa_size,XL,,,,,,,,
,variation,GL12V1PNK2XL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-pink,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-short-sleeve-crewneck-bodysuit-white,Organic Bamboo Women's Short Sleeve Crewneck Bodysuit,1,,"<p><span>Made from the softest organic eco-friendly bamboo, this short Sleeve Bodysuit is an essential in any women's wardrobe! The buttery-soft fabric and the supportive stretch molds onto your body making it an everyday essential for you.</span><br></p><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul><br>",,,taxable,,1,15,,0,,1,,,,,,,139,219,"Bodysuits,Underwear,The Outlet","outlet, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_14ee121e-e083-4061-bfb1-e58b81a809bf.jpg?v=1743658798,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_52c9fca1-3b00-48f5-9e95-5811d7f1da15.jpg?v=1743658798,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_2a16588a-9066-4b99-8cd5-b7dcc77a323a.jpg?v=1743658798,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FB_7592614c-ee1a-49c8-adc0-3c642b4371cb.jpg?v=1743658799",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-short-sleeve-crewneck-bodysuit,White Cloud,#EDEDE6,,bodysuits,
,variation,GL12V1WHTS,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-white,,,,,,,pa_size,S,,,,,,,,
,variation,GL12V1WHTM,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-white,,,,,,,pa_size,M,,,,,,,,
,variation,GL12V1WHTL,,1,,,,,,,1,6,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-white,,,,,,,pa_size,L,,,,,,,,
,variation,GL12V1WHTXL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-white,,,,,,,pa_size,XL,,,,,,,,
,variation,GL12V1WHT2XL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-white,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-short-sleeve-crewneck-bodysuit-black,Organic Bamboo Women's Short Sleeve Crewneck Bodysuit,1,,"<p><span>Made from the softest organic eco-friendly bamboo, this short Sleeve Bodysuit is an essential in any women's wardrobe! The buttery-soft fabric and the supportive stretch molds onto your body making it an everyday essential for you.</span><br></p><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul>",,,taxable,,0,0,,0,,1,,,,,,,139,219,"Bodysuits,Underwear",women-bodysuits,,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_4192cebf-6f26-4126-8ecd-6f7897217451.jpg?v=1743658796,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_8e184d07-011e-4086-be83-2729e5f05e46.jpg?v=1743658797,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_c459aab4-6eda-4df8-b44f-71dfee5f019f.jpg?v=1743658797,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FB_9642225c-c2db-4444-a170-ccda78ac2c35.jpg?v=1743658797",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-short-sleeve-crewneck-bodysuit,Jet Black,#383E4E,,bodysuits,
,variation,GL12V1BLKS,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-black,,,,,,,pa_size,S,,,,,,,,
,variation,GL12V1BLKM,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-black,,,,,,,pa_size,M,,,,,,,,
,variation,GL12V1BLKL,,1,,,,,,,0,-2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-black,,,,,,,pa_size,L,,,,,,,,
,variation,GL12V1BLKXL,,1,,,,,,,1,1,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-black,,,,,,,pa_size,XL,,,,,,,,
,variation,GL12V1BLK2XL,,1,,,,,,,1,1,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-short-sleeve-crewneck-bodysuit-black,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-sleeveless-crewneck-bodysuit-taupe,Organic Bamboo Women's Sleeveless Crewneck Bodysuit,1,,<span><span>Hug your curves with this sleeveless bodysuit! This lightweight and breathable bodysuit provides the ultimate comfort throughout the day. The crewneck elevates the look and make it perfect to wear as a top alone or paired with other layers.</span></span><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul><br>,,,taxable,,1,18,,0,,1,,,,,,,139,259,"Bodysuits,Underwear,Buy One Get One","b1g1, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_b0103993-ab14-425f-a02c-1a81504243a6.jpg?v=1743658795,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_d37e7286-1c4e-4d93-b455-384cfdda8200.jpg?v=1743658795,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/LF_b91b9240-7a42-46a6-b3dd-8cbcda385c45.jpg?v=1743658795,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/LB_2f525caa-71a1-4a41-8233-b234a82431dd.jpg?v=1743658795",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-sleeveless-crewneck-bodysuit,Natural Taupe,#AF9483,,bodysuits,
,variation,GL11V1TAUPS,,1,,,,,,,1,2,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-taupe,,,,,,,pa_size,S,,,,,,,,
,variation,GL11V1TAUPM,,1,,,,,,,1,4,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-taupe,,,,,,,pa_size,M,,,,,,,,
,variation,GL11V1TAUPL,,1,,,,,,,1,6,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-taupe,,,,,,,pa_size,L,,,,,,,,
,variation,GL11V1TAUPXL,,1,,,,,,,1,3,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-taupe,,,,,,,pa_size,XL,,,,,,,,
,variation,GL11V1TAUP2XL,,1,,,,,,,1,3,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-taupe,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-sleeveless-crewneck-bodysuit-pink,Organic Bamboo Women's Sleeveless Crewneck Bodysuit,1,,<span>Hug your curves with this sleeveless bodysuit! This lightweight and breathable bodysuit provides the ultimate comfort throughout the day. The crewneck elevates the look and make it perfect to wear as a top alone or paired with other layers.</span><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul><br>,,,taxable,,1,19,,0,,1,,,,,,,139,259,"Bodysuits,Underwear,Buy One Get One,The Outlet","b1g1, outlet, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_eb8e098f-a539-4bc6-8d69-5c89a570776f.jpg?v=1743658793,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_46dfb530-65be-4850-9b4c-29c3da6cd0aa.jpg?v=1743658793,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_bc980289-420e-4bc3-a8a1-328182f04fe6.jpg?v=1743658793,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FS_7aa12cd5-03f2-402e-ac24-2f1b557ffdc5.jpg?v=1743658793",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-sleeveless-crewneck-bodysuit,Pastel Pink,#F7C8C2,,bodysuits,
,variation,GL11V1PNKS,,1,,,,,,,1,1,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-pink,,,,,,,pa_size,S,,,,,,,,
,variation,GL11V1PNKM,,1,,,,,,,1,6,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-pink,,,,,,,pa_size,M,,,,,,,,
,variation,GL11V1PNKL,,1,,,,,,,1,7,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-pink,,,,,,,pa_size,L,,,,,,,,
,variation,GL11V1PNKXL,,1,,,,,,,1,3,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-pink,,,,,,,pa_size,XL,,,,,,,,
,variation,GL11V1PNK2XL,,1,,,,,,,1,2,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-pink,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-sleeveless-crewneck-bodysuit-white,Organic Bamboo Women's Sleeveless Crewneck Bodysuit,1,,<span>Hug your curves with this sleeveless bodysuit! This lightweight and breathable bodysuit provides the ultimate comfort throughout the day. The crewneck elevates the look and make it perfect to wear as a top alone or paired with other layers.</span><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul><br>,,,taxable,,1,14,,0,,1,,,,,,,139,259,"Bodysuits,Underwear,Buy One Get One","b1g1, women-bodysuits",,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_734bcefb-11c9-4e23-a89a-f7b8df28cb94.jpg?v=1743658792,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_4f5e4f0d-2f7c-4de6-a985-b86db7ad8957.jpg?v=1743658792,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_5b8ab04f-fe01-4348-b5d2-70f500c932ed.jpg?v=1743658792,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FS_aaf44d6f-c5de-4352-970b-9ed50e7139ec.jpg?v=1743658792",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-sleeveless-crewneck-bodysuit,White Cloud,#EDEDE6,,bodysuits,
,variation,GL11V1WHTS,,1,,,,,,,0,0,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-white,,,,,,,pa_size,S,,,,,,,,
,variation,GL11V1WHTM,,1,,,,,,,1,3,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-white,,,,,,,pa_size,M,,,,,,,,
,variation,GL11V1WHTL,,1,,,,,,,1,7,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-white,,,,,,,pa_size,L,,,,,,,,
,variation,GL11V1WHTXL,,1,,,,,,,1,2,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-white,,,,,,,pa_size,XL,,,,,,,,
,variation,GL11V1WHT2XL,,1,,,,,,,1,2,,,,1,,,,,,,139,259,,,,,,,organic-bamboo-women-sleeveless-crewneck-bodysuit-white,,,,,,,pa_size,2XL,,,,,,,,
